,pangenome_gene_id,percent,align_length,n_mismatch,n_gapopen,bitome_feat_start,bitome_feat_end,genome_start,genome_end,e_value,bit_score,pan_gene_full_id,feature_id,chrom_plasm_id,genome_id,mg_seq_len,allele_id
4680,fig:562.46071.peg.357__CP038857__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.46071.peg.357__CP038857__up,fig|562.46071.peg.357,CP038857,delete562.46071,489,0
3905,fig:562.70513.peg.439__CP068813__up,99.591,489,2,0,1,489,101,589,0.0,893.0,fig|562.70513.peg.439__CP068813__up,fig|562.70513.peg.439,CP068813,delete562.70513,489,6
4137,fig:562.67796.peg.351__LR883006__up,99.796,489,1,0,1,489,101,589,0.0,898.0,fig|562.67796.peg.351__LR883006__up,fig|562.67796.peg.351,LR883006,delete562.67796,489,1
4180,fig:83334.637.peg.429__CP104309__up,99.387,489,3,0,1,489,101,589,0.0,887.0,fig|83334.637.peg.429__CP104309__up,fig|83334.637.peg.429,CP104309,delete83334.637,489,2
4156,fig:562.102351.peg.387__CP095083__up,98.978,489,5,0,1,489,101,589,0.0,876.0,fig|562.102351.peg.387__CP095083__up,fig|562.102351.peg.387,CP095083,delete562.102351,489,9
4573,fig:562.76274.peg.3720__CP076043__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.76274.peg.3720__CP076043__up,fig|562.76274.peg.3720,CP076043,delete562.76274,489,0
2669,fig:564.93.peg.4040__CP055872__up,98.361,488,8,0,1,488,101,588,0.0,857.0,fig|564.93.peg.4040__CP055872__up,fig|564.93.peg.4040,CP055872,delete564.93,489,22
4292,fig:562.45432.peg.3004__CP034404__up,99.591,489,2,0,1,489,101,589,0.0,893.0,fig|562.45432.peg.3004__CP034404__up,fig|562.45432.peg.3004,CP034404,delete562.45432,489,7
4161,fig:562.61495.peg.1570__CP054314__up,99.796,489,1,0,1,489,101,589,0.0,898.0,fig|562.61495.peg.1570__CP054314__up,fig|562.61495.peg.1570,CP054314,delete562.61495,489,1
4711,fig:562.109772.peg.382__CP103529__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.109772.peg.382__CP103529__up,fig|562.109772.peg.382,CP103529,delete562.109772,489,0
4030,fig:562.28203.peg.3854__CP025703__up,98.773,489,6,0,1,489,101,589,0.0,870.0,fig|562.28203.peg.3854__CP025703__up,fig|562.28203.peg.3854,CP025703,delete562.28203,489,5
4872,fig:562.96035.peg.372__CP060969__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.96035.peg.372__CP060969__up,fig|562.96035.peg.372,CP060969,delete562.96035,489,0
4776,fig:562.9018.peg.3982__LM993812__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.9018.peg.3982__LM993812__up,fig|562.9018.peg.3982,LM993812,delete562.9018,489,0
4192,fig:83334.298.peg.5057__CP038494__up,99.387,489,3,0,1,489,101,589,0.0,887.0,fig|83334.298.peg.5057__CP038494__up,fig|83334.298.peg.5057,CP038494,delete83334.298,489,2
4205,fig:562.29117.peg.4984__CP027582__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.29117.peg.4984__CP027582__up,fig|562.29117.peg.4984,CP027582,delete562.29117,489,0
4983,fig:562.109786.peg.339__CP103694__up,99.796,489,1,0,1,489,101,589,0.0,898.0,fig|562.109786.peg.339__CP103694__up,fig|562.109786.peg.339,CP103694,delete562.109786,489,1
5123,fig:562.79203.peg.349__CP081706__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.79203.peg.349__CP081706__up,fig|562.79203.peg.349,CP081706,delete562.79203,489,0
4128,fig:562.108466.peg.3478__CP075716__up,99.387,489,3,0,1,489,101,589,0.0,887.0,fig|562.108466.peg.3478__CP075716__up,fig|562.108466.peg.3478,CP075716,delete562.108466,489,20
4130,fig:562.28693.peg.4949__CP027221__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.28693.peg.4949__CP027221__up,fig|562.28693.peg.4949,CP027221,delete562.28693,489,0
4298,fig:562.61492.peg.4239__CP054371__up,99.182,489,4,0,1,489,101,589,0.0,881.0,fig|562.61492.peg.4239__CP054371__up,fig|562.61492.peg.4239,CP054371,delete562.61492,489,31
4564,fig:562.17620.peg.3109__CP021732__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.17620.peg.3109__CP021732__up,fig|562.17620.peg.3109,CP021732,delete562.17620,489,0
4967,fig:562.114657.peg.378__CP024134__up,99.796,489,1,0,1,489,101,589,0.0,898.0,fig|562.114657.peg.378__CP024134__up,fig|562.114657.peg.378,CP024134,delete562.114657,489,1
4371,fig:562.25386.peg.409__CP025036__up,99.796,489,1,0,1,489,101,589,0.0,898.0,fig|562.25386.peg.409__CP025036__up,fig|562.25386.peg.409,CP025036,delete562.25386,489,1
4081,fig:562.75630.peg.4538__CP072787__up,98.978,489,5,0,1,489,101,589,0.0,876.0,fig|562.75630.peg.4538__CP072787__up,fig|562.75630.peg.4538,CP072787,delete562.75630,489,15
4795,fig:562.55237.peg.4149__CP047594__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.55237.peg.4149__CP047594__up,fig|562.55237.peg.4149,CP047594,delete562.55237,489,0
4820,fig:562.67791.peg.394__LR882973__up,99.182,489,4,0,1,489,101,589,0.0,881.0,fig|562.67791.peg.394__LR882973__up,fig|562.67791.peg.394,LR882973,delete562.67791,489,3
4051,fig:562.70726.peg.2123__CP069441__up,98.773,489,6,0,1,489,101,589,0.0,870.0,fig|562.70726.peg.2123__CP069441__up,fig|562.70726.peg.2123,CP069441,delete562.70726,489,5
2652,fig:564.142.peg.3923__CP057504__up,96.516,488,17,0,1,488,101,588,0.0,808.0,fig|564.142.peg.3923__CP057504__up,fig|564.142.peg.3923,CP057504,delete564.142,489,59
3916,fig:562.70514.peg.438__CP068823__up,98.569,489,7,0,1,489,101,589,0.0,865.0,fig|562.70514.peg.438__CP068823__up,fig|562.70514.peg.438,CP068823,delete562.70514,489,43
4081,fig:562.74729.peg.4539__CP072785__up,98.978,489,5,0,1,489,101,589,0.0,876.0,fig|562.74729.peg.4539__CP072785__up,fig|562.74729.peg.4539,CP072785,delete562.74729,489,15
4048,fig:941322.178.peg.345__CP103592__up,98.77,488,6,0,1,488,101,588,0.0,869.0,fig|941322.178.peg.345__CP103592__up,fig|941322.178.peg.345,CP103592,delete941322.178,489,4
4789,fig:562.79204.peg.364__CP081711__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.79204.peg.364__CP081711__up,fig|562.79204.peg.364,CP081711,delete562.79204,489,0
4204,fig:562.109781.peg.341__CP103623__up,99.591,489,2,0,1,489,101,589,0.0,893.0,fig|562.109781.peg.341__CP103623__up,fig|562.109781.peg.341,CP103623,delete562.109781,489,19
4793,fig:2048780.3.peg.601__CP024257__up,99.182,489,4,0,1,489,101,589,0.0,881.0,fig|2048780.3.peg.601__CP024257__up,fig|2048780.3.peg.601,CP024257,delete2048780.3,489,3
4113,fig:562.29110.peg.1052__CP027342__up,99.796,489,1,0,1,489,101,589,0.0,898.0,fig|562.29110.peg.1052__CP027342__up,fig|562.29110.peg.1052,CP027342,delete562.29110,489,1
4120,fig:562.68712.peg.1606__CP066032__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.68712.peg.1606__CP066032__up,fig|562.68712.peg.1606,CP066032,delete562.68712,489,0
4181,fig:155864.42.peg.4624__CP008957__up,99.387,489,3,0,1,489,101,589,0.0,887.0,fig|155864.42.peg.4624__CP008957__up,fig|155864.42.peg.4624,CP008957,delete155864.42,489,2
4470,fig:562.96032.peg.375__CP043284__up,99.796,489,1,0,1,489,101,589,0.0,898.0,fig|562.96032.peg.375__CP043284__up,fig|562.96032.peg.375,CP043284,delete562.96032,489,1
4168,fig:562.50548.peg.339__CP041919__up,99.796,489,1,0,1,489,101,589,0.0,898.0,fig|562.50548.peg.339__CP041919__up,fig|562.50548.peg.339,CP041919,delete562.50548,489,1
4125,fig:562.80701.peg.357__CP080246__up,98.569,489,7,0,1,489,101,589,0.0,865.0,fig|562.80701.peg.357__CP080246__up,fig|562.80701.peg.357,CP080246,delete562.80701,489,10
3990,fig:562.109775.peg.377__CP103521__up,98.569,489,7,0,1,489,101,589,0.0,865.0,fig|562.109775.peg.377__CP103521__up,fig|562.109775.peg.377,CP103521,delete562.109775,489,11
4711,fig:562.102360.peg.376__CP095155__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.102360.peg.376__CP095155__up,fig|562.102360.peg.376,CP095155,delete562.102360,489,0
4193,fig:562.60320.peg.540__CP053080__up,98.773,489,6,0,1,489,101,589,0.0,870.0,fig|562.60320.peg.540__CP053080__up,fig|562.60320.peg.540,CP053080,delete562.60320,489,5
4777,fig:562.108468.peg.334__CP075722__up,100.0,489,0,0,1,489,101,589,0.0,904.0,fig|562.108468.peg.334__CP075722__up,fig|562.108468.peg.334,CP075722,delete562.108468,489,0
4044,fig:941322.171.peg.404__CP103562__up,98.77,488,6,0,1,488,101,588,0.0,869.0,fig|941322.171.peg.404__CP103562__up,fig|941322.171.peg.404,CP103562,delete941322.171,489,4
2690,fig:564.180.peg.924__CP070873__up,98.361,488,8,0,1,488,101,588,0.0,857.0,fig|564.180.peg.924__CP070873__up,fig|564.180.peg.924,CP070873,delete564.180,489,46
4620,fig:562.114661.peg.4403__CP024147__up,99.387,489,3,0,1,489,101,589,0.0,887.0,fig|562.114661.peg.4403__CP024147__up,fig|562.114661.peg.4403,CP024147,delete562.114661,489,2
