,pangenome_gene_id,percent,align_length,n_mismatch,n_gapopen,bitome_feat_start,bitome_feat_end,genome_start,genome_end,e_value,bit_score,pan_gene_full_id,feature_id,chrom_plasm_id,genome_id,mg_seq_len,allele_id
4683,fig:562.46071.peg.3998__CP038857__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.46071.peg.3998__CP038857__up,fig|562.46071.peg.3998,CP038857,delete562.46071,575,0
3908,fig:562.70513.peg.4389__CP068813__up,98.435,575,8,1,1,575,102,675,0.0,1011.0,fig|562.70513.peg.4389__CP068813__up,fig|562.70513.peg.4389,CP068813,delete562.70513,575,7
4140,fig:562.67796.peg.4110__LR883006__up,99.826,575,1,0,1,575,101,675,0.0,1057.0,fig|562.67796.peg.4110__LR883006__up,fig|562.67796.peg.4110,LR883006,delete562.67796,575,1
4183,fig:83334.637.peg.4853__CP104309__up,98.77,569,6,1,7,575,108,675,0.0,1011.0,fig|83334.637.peg.4853__CP104309__up,fig|83334.637.peg.4853,CP104309,delete83334.637,575,2
4159,fig:562.102351.peg.4398__CP095083__up,98.261,575,9,1,1,575,102,675,0.0,1005.0,fig|562.102351.peg.4398__CP095083__up,fig|562.102351.peg.4398,CP095083,delete562.102351,575,5
4577,fig:562.76274.peg.2630__CP076043__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.76274.peg.2630__CP076043__up,fig|562.76274.peg.2630,CP076043,delete562.76274,575,0
2672,fig:564.93.peg.628__CP055872__up,98.261,575,9,1,1,575,102,675,0.0,1005.0,fig|564.93.peg.628__CP055872__up,fig|564.93.peg.628,CP055872,delete564.93,575,35
4295,fig:562.45432.peg.4270__CP034404__up,99.304,575,4,0,1,575,101,675,0.0,1040.0,fig|562.45432.peg.4270__CP034404__up,fig|562.45432.peg.4270,CP034404,delete562.45432,575,26
4164,fig:562.61495.peg.2923__CP054314__up,99.121,569,5,0,7,575,107,675,0.0,1024.0,fig|562.61495.peg.2923__CP054314__up,fig|562.61495.peg.2923,CP054314,delete562.61495,575,3
4714,fig:562.109772.peg.4176__CP103529__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.109772.peg.4176__CP103529__up,fig|562.109772.peg.4176,CP103529,delete562.109772,575,0
4033,fig:562.28203.peg.70__CP025703__up,97.739,575,13,0,1,575,101,675,0.0,990.0,fig|562.28203.peg.70__CP025703__up,fig|562.28203.peg.70,CP025703,delete562.28203,575,13
4875,fig:562.96035.peg.3987__CP060969__up,98.77,569,7,0,7,575,107,675,0.0,1013.0,fig|562.96035.peg.3987__CP060969__up,fig|562.96035.peg.3987,CP060969,delete562.96035,575,6
4780,fig:562.9018.peg.61__LM993812__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.9018.peg.61__LM993812__up,fig|562.9018.peg.61,LM993812,delete562.9018,575,0
4195,fig:83334.298.peg.745__CP038494__up,98.77,569,6,1,7,575,108,675,0.0,1011.0,fig|83334.298.peg.745__CP038494__up,fig|83334.298.peg.745,CP038494,delete83334.298,575,2
4208,fig:562.29117.peg.3667__CP027582__up,98.435,575,9,0,1,575,101,675,0.0,1013.0,fig|562.29117.peg.3667__CP027582__up,fig|562.29117.peg.3667,CP027582,delete562.29117,575,10
4986,fig:562.109786.peg.3847__CP103694__up,99.826,575,1,0,1,575,101,675,0.0,1057.0,fig|562.109786.peg.3847__CP103694__up,fig|562.109786.peg.3847,CP103694,delete562.109786,575,62
5126,fig:562.79203.peg.4139__CP081706__up,98.77,569,7,0,7,575,107,675,0.0,1013.0,fig|562.79203.peg.4139__CP081706__up,fig|562.79203.peg.4139,CP081706,delete562.79203,575,6
4131,fig:562.108466.peg.2263__CP075716__up,98.609,575,8,0,1,575,101,675,0.0,1018.0,fig|562.108466.peg.2263__CP075716__up,fig|562.108466.peg.2263,CP075716,delete562.108466,575,12
4133,fig:562.28693.peg.689__CP027221__up,98.435,575,9,0,1,575,101,675,0.0,1013.0,fig|562.28693.peg.689__CP027221__up,fig|562.28693.peg.689,CP027221,delete562.28693,575,10
4301,fig:562.61492.peg.663__CP054371__up,98.261,575,9,1,1,575,102,675,0.0,1005.0,fig|562.61492.peg.663__CP054371__up,fig|562.61492.peg.663,CP054371,delete562.61492,575,55
4567,fig:562.17620.peg.1863__CP021732__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.17620.peg.1863__CP021732__up,fig|562.17620.peg.1863,CP021732,delete562.17620,575,0
4970,fig:562.114657.peg.4586__CP024134__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.114657.peg.4586__CP024134__up,fig|562.114657.peg.4586,CP024134,delete562.114657,575,0
4374,fig:562.25386.peg.1742__CP025036__up,99.121,569,5,0,7,575,107,675,0.0,1024.0,fig|562.25386.peg.1742__CP025036__up,fig|562.25386.peg.1742,CP025036,delete562.25386,575,3
4084,fig:562.75630.peg.840__CP072787__up,97.565,575,14,0,1,575,101,675,0.0,985.0,fig|562.75630.peg.840__CP072787__up,fig|562.75630.peg.840,CP072787,delete562.75630,575,8
4798,fig:562.55237.peg.672__CP047594__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.55237.peg.672__CP047594__up,fig|562.55237.peg.672,CP047594,delete562.55237,575,0
4823,fig:562.67791.peg.3865__LR882973__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.67791.peg.3865__LR882973__up,fig|562.67791.peg.3865,LR882973,delete562.67791,575,0
4054,fig:562.70726.peg.3563__CP069441__up,97.565,575,13,1,1,575,102,675,0.0,983.0,fig|562.70726.peg.3563__CP069441__up,fig|562.70726.peg.3563,CP069441,delete562.70726,575,21
2655,fig:564.142.peg.706__CP057504__up,97.043,575,17,0,1,575,101,675,0.0,968.0,fig|564.142.peg.706__CP057504__up,fig|564.142.peg.706,CP057504,delete564.142,575,67
3919,fig:562.70514.peg.3870__CP068823__up,98.609,575,8,0,1,575,101,675,0.0,1018.0,fig|562.70514.peg.3870__CP068823__up,fig|562.70514.peg.3870,CP068823,delete562.70514,575,32
4084,fig:562.74729.peg.841__CP072785__up,97.565,575,14,0,1,575,101,675,0.0,985.0,fig|562.74729.peg.841__CP072785__up,fig|562.74729.peg.841,CP072785,delete562.74729,575,8
4051,fig:941322.178.peg.4223__CP103592__up,98.435,575,9,0,1,575,101,675,0.0,1013.0,fig|941322.178.peg.4223__CP103592__up,fig|941322.178.peg.4223,CP103592,delete941322.178,575,4
4792,fig:562.79204.peg.3911__CP081711__up,98.594,569,7,1,7,575,108,675,0.0,1005.0,fig|562.79204.peg.3911__CP081711__up,fig|562.79204.peg.3911,CP081711,delete562.79204,575,105
4207,fig:562.109781.peg.3852__CP103623__up,99.826,575,1,0,1,575,101,675,0.0,1057.0,fig|562.109781.peg.3852__CP103623__up,fig|562.109781.peg.3852,CP103623,delete562.109781,575,1
4796,fig:2048780.3.peg.4298__CP024257__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|2048780.3.peg.4298__CP024257__up,fig|2048780.3.peg.4298,CP024257,delete2048780.3,575,0
4116,fig:562.29110.peg.4909__CP027342__up,99.826,575,1,0,1,575,101,675,0.0,1057.0,fig|562.29110.peg.4909__CP027342__up,fig|562.29110.peg.4909,CP027342,delete562.29110,575,1
4123,fig:562.68712.peg.292__CP066032__up,99.826,575,1,0,1,575,101,675,0.0,1057.0,fig|562.68712.peg.292__CP066032__up,fig|562.68712.peg.292,CP066032,delete562.68712,575,1
4184,fig:155864.42.peg.63__CP008957__up,98.77,569,6,1,7,575,108,675,0.0,1011.0,fig|155864.42.peg.63__CP008957__up,fig|155864.42.peg.63,CP008957,delete155864.42,575,2
4473,fig:562.96032.peg.4022__CP043284__up,99.121,569,5,0,7,575,107,675,0.0,1024.0,fig|562.96032.peg.4022__CP043284__up,fig|562.96032.peg.4022,CP043284,delete562.96032,575,3
4171,fig:562.50548.peg.3896__CP041919__up,99.121,569,5,0,7,575,107,675,0.0,1024.0,fig|562.50548.peg.3896__CP041919__up,fig|562.50548.peg.3896,CP041919,delete562.50548,575,3
4128,fig:562.80701.peg.4078__CP080246__up,97.565,575,14,0,1,575,101,675,0.0,985.0,fig|562.80701.peg.4078__CP080246__up,fig|562.80701.peg.4078,CP080246,delete562.80701,575,8
3993,fig:562.109775.peg.4155__CP103521__up,98.261,575,9,1,1,575,102,675,0.0,1005.0,fig|562.109775.peg.4155__CP103521__up,fig|562.109775.peg.4155,CP103521,delete562.109775,575,5
4714,fig:562.102360.peg.3998__CP095155__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.102360.peg.3998__CP095155__up,fig|562.102360.peg.3998,CP095155,delete562.102360,575,0
4196,fig:562.60320.peg.4397__CP053080__up,97.739,575,13,0,1,575,101,675,0.0,990.0,fig|562.60320.peg.4397__CP053080__up,fig|562.60320.peg.4397,CP053080,delete562.60320,575,13
4780,fig:562.108468.peg.3793__CP075722__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.108468.peg.3793__CP075722__up,fig|562.108468.peg.3793,CP075722,delete562.108468,575,0
4047,fig:941322.171.peg.4292__CP103562__up,98.435,575,9,0,1,575,101,675,0.0,1013.0,fig|941322.171.peg.4292__CP103562__up,fig|941322.171.peg.4292,CP103562,delete941322.171,575,4
2693,fig:564.180.peg.2116__CP070873__up,97.217,575,15,1,1,575,102,675,0.0,972.0,fig|564.180.peg.2116__CP070873__up,fig|564.180.peg.2116,CP070873,delete564.180,575,29
4623,fig:562.114661.peg.842__CP024147__up,98.435,575,8,1,1,575,102,675,0.0,1011.0,fig|562.114661.peg.842__CP024147__up,fig|562.114661.peg.842,CP024147,delete562.114661,575,11
4122,fig:562.70522.peg.4165__CP068816__up,97.739,575,13,0,1,575,101,675,0.0,990.0,fig|562.70522.peg.4165__CP068816__up,fig|562.70522.peg.4165,CP068816,delete562.70522,575,13
4816,fig:562.115111.peg.3804__CP044443__up,99.826,575,1,0,1,575,101,675,0.0,1057.0,fig|562.115111.peg.3804__CP044443__up,fig|562.115111.peg.3804,CP044443,delete562.115111,575,103
4753,fig:562.94308.peg.63__CP091065__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.94308.peg.63__CP091065__up,fig|562.94308.peg.63,CP091065,delete562.94308,575,0
3985,fig:562.29126.peg.2570__CP027579__up,97.565,575,13,1,1,575,102,675,0.0,983.0,fig|562.29126.peg.2570__CP027579__up,fig|562.29126.peg.2570,CP027579,delete562.29126,575,89
3931,fig:562.90909.peg.4130__OU701449__up,98.435,575,8,1,1,575,102,675,0.0,1011.0,fig|562.90909.peg.4130__OU701449__up,fig|562.90909.peg.4130,OU701449,delete562.90909,575,7
4784,fig:562.114834.peg.3776__CP111004__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.114834.peg.3776__CP111004__up,fig|562.114834.peg.3776,CP111004,delete562.114834,575,0
4183,fig:83334.639.peg.4853__CP104309__up,98.77,569,6,1,7,575,108,675,0.0,1011.0,fig|83334.639.peg.4853__CP104309__up,fig|83334.639.peg.4853,CP104309,delete83334.639,575,2
4164,fig:585396.4.peg.60__NC_013364__up,98.435,575,9,0,1,575,53,627,0.0,1013.0,fig|585396.4.peg.60__NC_013364__up,fig|585396.4.peg.60,NC_013364,delete585396.4,575,10
4045,fig:562.58145.peg.4041__CP048337__up,97.913,575,11,1,1,575,102,675,0.0,994.0,fig|562.58145.peg.4041__CP048337__up,fig|562.58145.peg.4041,CP048337,delete562.58145,575,15
4127,fig:562.19575.peg.1716__CP022393__up,99.826,575,1,0,1,575,101,675,0.0,1057.0,fig|562.19575.peg.1716__CP022393__up,fig|562.19575.peg.1716,CP022393,delete562.19575,575,1
4200,fig:562.115116.peg.3806__CP097721__up,99.304,575,4,0,1,575,101,675,0.0,1040.0,fig|562.115116.peg.3806__CP097721__up,fig|562.115116.peg.3806,CP097721,delete562.115116,575,26
4735,fig:469008.15.peg.57__CP001509__up,100.0,528,0,0,48,575,1,528,0.0,976.0,fig|469008.15.peg.57__CP001509__up,fig|469008.15.peg.57,CP001509,delete469008.15,575,17
3993,fig:941322.182.peg.4048__CP103710__up,98.435,575,9,0,1,575,101,675,0.0,1013.0,fig|941322.182.peg.4048__CP103710__up,fig|941322.182.peg.4048,CP103710,delete941322.182,575,4
3931,fig:562.70525.peg.4354__CP068801__up,98.435,575,8,1,1,575,102,675,0.0,1011.0,fig|562.70525.peg.4354__CP068801__up,fig|562.70525.peg.4354,CP068801,delete562.70525,575,7
4829,fig:562.107285.peg.3895__CP100525__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.107285.peg.3895__CP100525__up,fig|562.107285.peg.3895,CP100525,delete562.107285,575,0
4397,fig:562.7943.peg.4468__CP013112__up,99.121,569,5,0,7,575,107,675,0.0,1024.0,fig|562.7943.peg.4468__CP013112__up,fig|562.7943.peg.4468,CP013112,delete562.7943,575,3
3832,fig:562.63790.peg.4178__CP059840__up,97.565,575,14,0,1,575,101,675,0.0,985.0,fig|562.63790.peg.4178__CP059840__up,fig|562.63790.peg.4178,CP059840,delete562.63790,575,44
4109,fig:1248823.7.peg.62__CP007136__up,98.435,575,8,1,1,575,102,675,0.0,1011.0,fig|1248823.7.peg.62__CP007136__up,fig|1248823.7.peg.62,CP007136,delete1248823.7,575,11
3696,fig:574521.7.peg.61__NC_011601__up,98.855,524,6,0,52,575,5,528,0.0,935.0,fig|574521.7.peg.61__NC_011601__up,fig|574521.7.peg.61,NC_011601,delete574521.7,575,86
4109,fig:562.70728.peg.1054__CP069451__up,97.739,575,13,0,1,575,101,675,0.0,990.0,fig|562.70728.peg.1054__CP069451__up,fig|562.70728.peg.1054,CP069451,delete562.70728,575,13
4739,fig:562.58142.peg.3933__CP048371__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.58142.peg.3933__CP048371__up,fig|562.58142.peg.3933,CP048371,delete562.58142,575,0
3920,fig:562.58370.peg.3282__CP049197__up,98.261,575,9,1,1,575,102,675,0.0,1005.0,fig|562.58370.peg.3282__CP049197__up,fig|562.58370.peg.3282,CP049197,delete562.58370,575,5
4917,fig:2605620.3.peg.3999__CP043217__up,99.826,575,0,1,1,575,102,675,0.0,1055.0,fig|2605620.3.peg.3999__CP043217__up,fig|2605620.3.peg.3999,CP043217,delete2605620.3,575,20
4815,fig:562.102358.peg.3780__CP095125__up,100.0,575,0,0,1,575,101,675,0.0,1062.0,fig|562.102358.peg.3780__CP095125__up,fig|562.102358.peg.3780,CP095125,delete562.102358,575,0
