,locus_tag,name,left,right,strand
1,b0001,thrL,190,255,1
2,b0002,thrA,337,2799,1
3,b0003,thrB,2801,3733,1
4,b0004,thrC,3734,5020,1
5,b0005,yaaX,5234,5530,1
6,b0006,yaaA,5683,6459,-1
7,b0007,yaaJ,6529,7959,-1
8,b0008,talB,8238,9191,1
9,b0009,mog,9306,9893,1
10,b0010,satP,9928,10494,-1
11,b0011,yaaW,10643,11356,-1
12,b0012,mbiA,10830,11315,1
13,b0013,yaaI,11382,11786,-1
14,b0014,dnaK,12163,14079,1
15,b0015,dnaJ,14168,15298,1
16,b0016,insL-1,15445,16557,1
17,b4412,hokC,16751,16903,-1
18,b0018,mokC,16751,16960,-1
19,b0019,nhaA,17489,18655,1
20,b0020,nhaR,18715,19620,1
21,b0021,insB-1,19811,20314,-1
22,b0022,insA-1,20233,20508,-1
23,b0023,rpsT,20815,21078,-1
24,b0024,yaaY,21181,21399,1
25,b0025,ribF,21407,22348,1
26,b0026,ileS,22391,25207,1
27,b0027,lspA,25207,25701,1
28,b0028,fkpB,25826,26275,1
29,b0029,ispH,26277,27227,1
30,b0030,rihC,27293,28207,1
31,b0031,dapB,28374,29195,1
32,b0032,carA,29651,30799,1
33,b0033,carB,30817,34038,1
34,b0034,caiF,34300,34695,1
35,b0035,caiE,34781,35371,-1
36,b0036,caiD,35377,36162,-1
37,b0037,caiC,36271,37824,-1
38,b0038,caiB,37898,39115,-1
39,b0039,caiA,39244,40386,-1
40,b0040,caiT,40417,41931,-1
41,b0041,fixA,42403,43173,1
42,b0042,fixB,43188,44129,1
43,b0043,fixC,44180,45466,1
44,b0044,fixX,45463,45750,1
45,b0045,yaaU,45807,47138,1
46,b0046,kefF,47246,47776,1
47,b0047,kefC,47769,49631,1
48,b0048,folA,49823,50302,1
49,b0049,apaH,50380,51222,-1
50,b0050,apaG,51229,51606,-1
51,b0051,rsmA,51609,52430,-1
52,b0052,pdxA,52427,53416,-1
53,b0053,surA,53416,54702,-1
54,b0054,lptD,54755,57109,-1
55,b0055,djlA,57364,58179,1
56,b0056,yabP,58474,59124,1
57,b0057,yabQ,59121,59279,1
58,b0058,rluA,59687,60346,-1
59,b0059,rapA,60358,63264,-1
60,b0060,polB,63429,65780,-1
61,b0061,araD,65855,66550,-1
62,b0062,araA,66835,68337,-1
63,b0063,araB,68348,70048,-1
64,b0064,araC,70387,71265,1
65,b0065,yabI,71351,72115,1
66,b0066,thiQ,72229,72927,-1
67,b0067,thiP,72911,74521,-1
68,b0068,thiB,74497,75480,-1
69,b0069,sgrR,75644,77299,-1
70,b4662,sgrT,77388,77519,1
71,b0070,setA,77621,78799,1
72,b0071,leuD,78848,79453,-1
73,b0072,leuC,79464,80864,-1
74,b0073,leuB,80867,81958,-1
75,b0074,leuA,81958,83529,-1
76,b0075,leuL,83622,83708,-1
77,b0076,leuO,84368,85312,1
78,b4726,yabR,85467,85511,-1
79,b0077,ilvI,85630,87354,1
80,b0078,ilvH,87357,87848,1
81,b0080,cra,88028,89032,1
82,b0081,mraZ,89634,90092,1
83,b0082,rsmH,90094,91035,1
84,b0083,ftsL,91032,91397,1
85,b0084,ftsI,91413,93179,1
86,b0085,murE,93166,94653,1
87,b0086,murF,94650,96008,1
88,b0087,mraY,96002,97084,1
89,b0088,murD,97087,98403,1
90,b0089,ftsW,98403,99647,1
91,b0090,murG,99644,100711,1
92,b0091,murC,100765,102240,1
93,b0092,ddlB,102233,103153,1
94,b0093,ftsQ,103155,103985,1
95,b0094,ftsA,103982,105244,1
96,b0095,ftsZ,105305,106456,1
97,b0096,lpxC,106557,107474,1
98,b0097,secM,107705,108217,1
99,b0098,secA,108279,110984,1
100,b0099,mutT,111044,111433,1
101,b0101,yacG,111649,111846,-1
102,b0102,zapD,111856,112599,-1
103,b0103,coaE,112599,113219,-1
104,b4727,yacM,113244,113288,1
105,b0104,guaC,113444,114487,1
106,b0106,hofC,114522,115724,-1
107,b0107,hofB,115714,117099,-1
108,b0108,ppdD,117109,117549,-1
109,b0109,nadC,117752,118645,-1
110,b0110,ampD,118733,119284,1
111,b0111,ampE,119281,120135,1
112,b0112,aroP,120178,121551,-1
113,b0113,pdhR,122092,122856,1
114,b0114,aceE,123017,125680,1
115,b0115,aceF,125695,127587,1
116,b0116,lpd,127912,129336,1
117,b0117,yacH,129407,131260,-1
118,b0118,acnB,131615,134212,1
119,b0119,yacL,134388,134750,1
120,b0120,speD,134788,135582,-1
121,b0121,speE,135598,136464,-1
122,b0122,yacC,136570,136917,-1
123,b0123,cueO,137083,138633,1
124,b0124,gcd,138835,141225,-1
125,b0125,hpt,141431,141967,1
126,b0126,can,142008,142670,-1
127,b0127,yadG,142779,143705,1
128,b0128,yadH,143702,144472,1
129,b0129,yadI,144577,145017,1
130,b0130,yadE,145081,146310,1
131,b0131,panD,146314,146694,-1
132,b0132,rpnC,146968,147870,1
133,b0133,panC,147944,148795,-1
134,b0134,panB,148807,149601,-1
135,b0135,yadC,149715,150953,-1
136,b0136,yadK,151003,151599,-1
137,b0137,yadL,151626,152231,-1
138,b0138,yadM,152243,152812,-1
139,b0139,htrE,152829,155426,-1
140,b0140,yadV,155461,156201,-1
141,b0141,yadN,156299,156883,-1
142,b0142,folK,157253,157732,-1
143,b0143,pcnB,157729,159126,-1
144,b0144,gluQ,159186,160112,-1
145,b0145,dksA,160149,160604,-1
146,b0146,sfsA,160782,161486,-1
147,b0147,thpR,161501,162031,-1
148,b0148,hrpB,162105,164534,1
149,b0149,mrcB,164730,167264,1
150,b0150,fhuA,167484,169727,1
151,b0151,fhuC,169778,170575,1
152,b0152,fhuD,170575,171465,1
153,b0153,fhuB,171462,173444,1
154,b0154,hemL,173602,174882,-1
155,b0155,clcA,175107,176528,1
156,b4728,yadW,176552,176617,1
157,b0156,erpA,176610,176954,1
158,b0157,yadS,177001,177624,-1
159,b0158,btuF,177662,178462,-1
160,b0159,mtn,178455,179153,-1
161,b0160,dgt,179237,180754,1
162,b0161,degP,180884,182308,1
163,b0162,cdaR,182463,183620,1
164,b0163,yaeH,183709,184095,-1
165,b0164,yaeI,184257,185069,-1
166,b0166,dapD,185123,185947,-1
167,b0167,glnD,185978,188650,-1
168,b0168,map,188712,189506,-1
169,b0169,rpsB,189874,190599,1
170,b0170,tsf,190857,191708,1
171,b0171,pyrH,191855,192580,1
172,b0172,frr,192872,193429,1
173,b0173,dxr,193521,194717,1
174,b0174,ispU,194903,195664,1
175,b0175,cdsA,195677,196534,1
176,b0176,rseP,196546,197898,1
177,b0177,bamA,197928,200360,1
178,b0178,skp,200482,200967,1
179,b0179,lpxD,200971,201996,1
180,b0180,fabZ,202101,202556,1
181,b0181,lpxA,202560,203348,1
182,b0182,lpxB,203348,204496,1
183,b0183,rnhB,204493,205089,1
184,b0184,dnaE,205126,208608,1
185,b0185,accA,208621,209580,1
186,b0186,ldcC,209679,211820,1
187,b0187,yaeR,211877,212266,1
188,b0188,tilS,212331,213629,1
189,b0189,rof,213678,213932,-1
190,b4406,yaeP,213925,214125,-1
191,b0190,yaeQ,214291,214836,1
192,b0191,arfB,214833,215255,1
193,b0192,nlpE,215269,215979,1
